2022-12-07 09:51:08.891 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:51:08 发起post请求:下单
2022-12-07 09:51:08.891 | DEBUG    | lib.create_order1:post:86 - 2022-12-07 09:51:08 请求时的入参: /pay/createOrderparams
2022-12-07 09:51:10.461 | DEBUG    | lib.create_order1:post:89 - 2022-12-07 09:51:10 接口返回值: {'code': '88001', 'msg': 'amount can not be blank'}
2022-12-07 09:55:56.759 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:55:56 发起post请求:下单
2022-12-07 09:55:56.759 | DEBUG    | lib.create_order1:post:86 - 2022-12-07 09:55:56 请求时的入参: /pay/createOrderparams
2022-12-07 09:55:58.100 | DEBUG    | lib.create_order1:post:89 - 2022-12-07 09:55:58 接口返回值: {'code': '88001', 'msg': 'amount can not be blank'}
2022-12-07 09:56:27.408 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:56:27 发起post请求:下单
2022-12-07 09:56:27.408 | DEBUG    | lib.create_order1:post:86 - 2022-12-07 09:56:27 请求时的入参: /pay/createOrderparams
2022-12-07 09:56:28.729 | DEBUG    | lib.create_order1:post:89 - 2022-12-07 09:56:28 接口返回值: {'code': '88001', 'msg': 'amount can not be blank'}
2022-12-07 09:58:16.947 | DEBUG    | __main__:post:85 - 2022-12-07 09:58:16 发起post请求:模拟xendit dana下单回调成功
2022-12-07 09:58:16.947 | DEBUG    | __main__:post:86 - 2022-12-07 09:58:16 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670378296947&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-07 09:58:19.329 | DEBUG    | __main__:post:89 - 2022-12-07 09:58:19 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '0d86142c4f2f8212a947d8ec6520be2c', 'orderNo': 'TestOrderNo_1670378296947', 'tradeNo': '10012022120708581787400016', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7v6eji4d4oac5a5dfg', 'payCodeType': '1', 'expireTime': '2022-12-07 09:58:17'}
2022-12-07 09:58:33.881 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:58:33 发起post请求:下单
2022-12-07 09:58:33.881 | DEBUG    | lib.create_order1:post:86 - 2022-12-07 09:58:33 请求时的入参: /pay/createOrderparams
2022-12-07 09:58:35.175 | DEBUG    | lib.create_order1:post:89 - 2022-12-07 09:58:35 接口返回值: {'code': '88001', 'msg': 'amount can not be blank'}
2022-12-07 09:59:14.231 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:59:14 发起post请求:下单
2022-12-07 09:59:14.232 | DEBUG    | lib.create_order1:post:86 - 2022-12-07 09:59:14 请求时的入参: /pay/createOrderamount=&currency=&expectPayCodeType=0&merchantId=<__main__.Order object at 0x000002207B4CEF40>&orderNo=TestOrderNo_1670378354232&payChannel=&payerName=test&payerPhone=&productId=&subject=TestSubject&version=1.0&
2022-12-07 09:59:15.534 | DEBUG    | lib.create_order1:post:89 - 2022-12-07 09:59:15 接口返回值: {'code': '88001', 'msg': 'amount can not be blank'}
2022-12-07 09:59:44.666 | DEBUG    | lib.create_order1:post:85 - 2022-12-07 09:59:44 发起post请求:下单
